t,transmission:vector(camStationId) World.node[0].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),transmission:vector(camGenerationDeltaTime) World.node[0].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camStationId) World.node[1].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camGenerationDeltaTime) World.node[1].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),transmission:vector(camStationId) World.node[1].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),transmission:vector(camGenerationDeltaTime) World.node[1].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camStationId) World.node[0].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camGenerationDeltaTime) World.node[0].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camStationId) World.node[2].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camGenerationDeltaTime) World.node[2].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),transmission:vector(camStationId) World.node[2].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),transmission:vector(camGenerationDeltaTime) World.node[2].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camStationId) World.node[3].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camGenerationDeltaTime) World.node[3].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),transmission:vector(camStationId) World.node[3].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),transmission:vector(camGenerationDeltaTime) World.node[3].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camStationId) World.node[4].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camGenerationDeltaTime) World.node[4].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),transmission:vector(camStationId) World.node[4].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),transmission:vector(camGenerationDeltaTime) World.node[4].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camStationId) World.node[5].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camGenerationDeltaTime) World.node[5].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),transmission:vector(camStationId) World.node[5].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),transmission:vector(camGenerationDeltaTime) World.node[5].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camStationId) World.node[6].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camGenerationDeltaTime) World.node[6].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),transmission:vector(camStationId) World.node[6].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),transmission:vector(camGenerationDeltaTime) World.node[6].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camStationId) World.node[7].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camGenerationDeltaTime) World.node[7].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),transmission:vector(camStationId) World.node[7].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),transmission:vector(camGenerationDeltaTime) World.node[7].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camStationId) World.node[8].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),reception:vector(camGenerationDeltaTime) World.node[8].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),transmission:vector(camStationId) World.node[8].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596),transmission:vector(camGenerationDeltaTime) World.node[8].middleware.CaService(#0 - inet-0-20230514-20:21:44-10596)
1.159284461639,16,8456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.359284461639,16,8456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.559284461639,16,8456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.759284461639,16,8456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.059284461639,16,9456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.359284461639,16,9456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.659284461639,16,9456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.959284461639,16,9456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.019765805678,,,16,9456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.059284461639,16,10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.079493805678,,,16,10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.133739616163,,,,,87,10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.134221421841,,,,,,,87,10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.159284461639,16,10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.199493805678,,,16,10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.259284461639,16,10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.319493805678,,,16,10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.333739616163,,,,,87,10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.333949421841,,,,,,,87,10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.359284461639,16,10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.379493805678,,,16,10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.533739616163,,,,,87,10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.533949421841,,,,,,,87,10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.733739616163,,,,,87,10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.734221421841,,,,,,,87,10456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.033739616163,,,,,87,11456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.033949333465,,,,,,,87,11456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.059284461639,16,11456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.119765717302,,,16,11456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.333739616163,,,,,87,11456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.334221333465,,,,,,,87,11456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.633739616163,,,,,87,11456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.633949333465,,,,,,,87,11456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.759284461639,16,11456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.819765717302,,,16,11456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.933739616163,,,,,87,11456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.934221333465,,,,,,,87,11456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.033739616163,,,,,87,12456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.053947960304,,,,,,,,,87,12456,,,,,,,,,,,,,,,,,,,,,,,,,,
